avg,color
-3.2079181605696463,Mariam
-3.4395482511601694,Mariam
0.03466006812936138,Mariam
-1.053437562603806,Mariam
-0.7880687275300869,Mariam
-1.2799219672726094,Mariam
-1.5949546962383119,Mariam
-3.517163861269588,Mariam
-1.3180710639731619,Mariam
-2.5587769744174764,Mariam
-5.765757419972784,Mariam
-3.09341942406389,Mariam
-2.892227796281211,Mariam
-0.28482545851515,Mariam
-0.9572679927250809,Mariam
-1.0624665782181977,Mariam
-0.8939755647592165,Mariam
-3.611551352811879,Mariam
-3.299523072558853,Mariam
-1.7609236712794598,Mariam
-1.85445115505784,Mariam
-1.2266824860171375,Mariam
-2.063731605801897,Mariam
-2.519029146742816,Mariam
-2.8730739463520374,Mariam
-5.176195663778457,Mariam
-6.007633129505172,Mariam
-2.7090452108524445,Mariam
-3.8204826470308633,Mariam
-4.197365656957126,Mariam
-4.299901172702643,Mariam
-1.656057373503661,Mariam
-1.862879362109559,Mariam
-3.8706045824061293,Mariam
-1.8918564248059364,Mariam
-2.136745860179323,Mariam
-3.063693159562357,Mariam
-1.2841255965473686,Mariam
-1.4044285599356896,Mariam
-2.8508631105765962,Mariam
-1.0538712480555548,Mariam
-1.2927775469191283,Mariam
-0.6282370365939982,Mariam
-0.5840377928053008,Mariam
-1.6367577987945747,Mariam
-1.4022045160582888,Mariam
-1.2257632498616267,Mariam
-2.002810998186648,Mariam
-1.6923028743881185,Mariam
-0.3411517157939046,Mariam
-2.650751226706069,Mariam
-4.950661157531243,Mariam
-3.9279062527010593,Mariam
-2.870752943839869,Mariam
-4.276279984387995,Mariam
-6.3643807497398335,Mariam
-1.9135451268464692,Mariam
-2.4968651419844834,Mariam
-4.097216366298554,Mariam
-4.051114720599274,Mariam
-3.1203305826439562,Mariam
-5.674497534348069,Mariam
-5.648393393206092,Mariam
-4.203655582107564,Mariam
-3.0263538099773672,Mariam
-2.6679642315632295,Mariam
-3.770259313155833,Mariam
-0.7525518312099564,Mariam
-2.2697803111862003,Mariam
-2.861450261653764,Mariam
-3.1367803478149345,Mariam
-4.191570624088689,Mariam
-4.666411804003003,Mariam
-2.597899250570243,Mariam
-1.5578316899284952,Mariam
-6.224764077433342,Mariam
-2.1518835922974255,Mariam
-1.1861247924642213,Mariam
-1.7436626651817833,Mariam
-1.2611578022549947,Mariam
-1.4361271902739692,Mariam
-2.425748244970109,Mariam
-1.4238639694229704,Mariam
-8.164892395421429,Mariam
-4.039102072148387,Mariam
-6.16821234591942,Mariam
-1.0801499312694407,Mariam
-4.220197293871966,Mariam
-3.9712777145774814,Mariam
-5.378209299157122,Mariam
-4.779886569952819,Mariam
-4.4671627153150615,Mariam
-6.549203181953627,Mariam
-5.013299598187396,Mariam
-2.6946302662209005,Mariam
-5.8952801631393505,Mariam
-5.6841281982460705,Mariam
-8.98002594369493,Mariam
-6.95626310469852,Mariam
-6.027254774195184,Mariam
-7.146638152417145,Mariam
-3.335521586621295,Mariam
-6.195321177100755,Mariam
-4.649802243573191,Mariam
-3.724483882805901,Mariam
