chroma_mean,chroma_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,spectral_rolloff_mean,spectral_rolloff_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,result
0.33579567,0.09082012,0.027812311,0.0016347988,1402.456705749452,179292.5592430603,1614.6204895655433,112748.51808944058,2651.801589439656,994876.5471219736,-373.29626,5400.7812,134.33344,930.27606,-11.302624,229.21864,13.025337,252.2903,2.4551427,187.59402,-5.8765225,226.65121,-12.705854,155.12534,-18.574661,159.40257,-10.033445,75.541214,-10.237367,195.63748,-4.697598,140.60426,-5.9150076,66.62619,-2.188447,44.79432,-3.091657,65.97613,-7.255054,52.760548,2.8712597,107.54123,-2.8868823,31.16604,-5.5875835,71.36402,-4.487132,51.099228,-1.8471128,30.694397,Amr
0.3986324,0.08750168,0.026970752,0.0010368981,2003.6879702476583,428034.34044070175,1987.7457981978,112348.79862937614,3854.443359375,1995524.4837136103,-310.71555,7074.9575,107.14098,1217.5431,-24.986193,503.9335,19.529406,174.82085,-1.794287,251.3047,4.355913,387.55612,-20.595562,119.19148,-3.6767838,130.28755,-8.311455,60.854828,-9.588744,184.86356,-11.259954,107.68519,-8.223933,47.32384,-6.5763636,38.605972,-3.2794926,95.332245,-8.359813,56.031868,-2.6145627,103.961136,-6.676453,63.052475,-3.272921,68.027176,-9.010822,73.74231,-1.3162893,45.858192,Amr
0.40957302,0.093516365,0.05226398,0.007426108,1681.49524465729,576393.9923343905,1887.8788513295744,236843.05832990195,3182.335162984914,2618678.54720914,-382.00046,10779.493,96.795044,1963.9122,14.146894,315.09308,6.078938,193.74963,1.6889381,233.46933,1.5313196,276.24084,-13.986426,299.5619,-16.693678,345.23474,-3.7041264,116.8883,-8.977243,232.13211,-5.8656883,130.25732,-6.4606547,60.50706,-3.2974594,112.756096,-0.63317186,46.10175,-3.6227245,54.10128,0.6447913,194.63972,-3.6929471,39.875774,-1.2428882,100.13563,-5.5829835,52.6742,-0.28324395,30.783012,Amr
0.38283247,0.09509161,0.041570637,0.0055873697,1762.0547805696394,440805.2661668655,1984.405766102351,276785.96374829416,3522.535021551724,2456141.9926628065,-362.3765,7765.9253,101.090675,1642.7843,7.1557307,625.42694,6.3693733,279.95773,0.6726973,189.95866,-5.818885,146.26613,-11.62831,138.9728,-11.504273,147.77914,-10.209065,98.67344,-10.766328,97.15439,-6.990656,105.931114,-6.0456443,72.103836,-4.623076,41.665897,-0.27660775,44.32462,-5.1416965,64.43038,-1.817007,101.240776,-0.918655,39.48221,-3.882432,60.52645,-3.7175286,36.400692,-3.4221928,30.651056,Amr
0.45053247,0.09093197,0.040601276,0.0055745295,1688.827934208634,405453.4402038664,1925.5375674546872,213922.0337488465,3296.560142780173,1834592.028829345,-397.95248,10018.008,98.575676,2260.5352,9.456759,452.0549,6.3742948,282.71155,0.09995237,172.55775,-1.8169776,163.5009,-12.653172,148.88734,-12.151963,126.42579,-6.982551,40.62221,-11.4006815,170.58893,-8.631549,210.40976,-6.5773287,50.73575,-4.177052,50.518124,-4.926899,48.26086,-6.0978374,35.148964,-2.278367,45.176422,-2.666761,51.14516,-0.98137176,60.077305,-7.1360607,45.95739,-1.2081378,49.026783,Amr
0.3902564,0.091184884,0.04015668,0.0035253922,1671.0316188029674,380155.51855279854,1847.7781188275608,303388.93620022625,3303.119106950431,2454324.401027382,-347.76212,6026.858,122.51568,1357.9716,-3.8142762,366.35852,5.147762,253.82594,-4.7542653,127.95151,-6.968321,227.50937,-13.764226,187.94821,-12.80943,165.86998,-9.879327,40.91522,-11.329966,189.00961,-5.5290427,166.70059,-5.7615776,84.82117,-5.7379136,47.38485,-1.2319413,37.267456,-3.2941673,89.79626,-0.0017519546,173.99251,-0.14602992,56.24932,-3.728208,51.713085,-6.0927424,35.791588,-2.0268793,39.372864,Amr
0.3969745,0.09679442,0.03714792,0.0027241528,2122.177792891492,869953.5598172635,2166.250913641736,325623.6168894695,4286.59247036638,3907019.629399076,-334.96252,5898.512,110.64741,1918.5271,-2.5745842,291.4449,10.611478,390.43475,-6.980269,301.4305,0.461658,193.38481,-16.01755,177.59676,-8.152354,243.36537,-11.107141,69.30843,-9.839749,282.03424,-2.190313,172.26085,-0.5935428,133.02586,-0.7070205,61.134197,1.4825312,48.873474,-4.1592283,75.22203,2.291588,97.11011,0.06894771,37.37515,1.3385788,64.54689,-4.815827,37.352432,0.3323838,28.886621,Amr
0.4416351,0.08902703,0.010037142,0.00018704473,1927.3088825152072,462488.8220946191,2132.098927602307,258011.79841815063,3905.182516163793,2970502.26182348,-391.2962,2212.7307,121.95723,1176.1718,-9.621795,303.98163,11.251255,251.95218,-6.8809843,120.23793,-2.250472,158.59108,-15.81063,62.61476,-2.3306153,76.74233,-8.00556,75.34934,-3.0033607,164.83788,-3.4119256,97.38193,-0.6815457,122.963585,-2.2843347,26.324476,3.104798,25.941484,-5.0900087,44.436787,1.821055,61.071667,-0.74399585,31.802858,3.1758127,37.081146,-4.9052887,47.93495,2.8351448,25.7508,Amr
0.37815323,0.10449175,0.08087321,0.010411671,1430.8331524336254,448149.73266218544,1719.6413174024435,318348.7089428022,2841.7640422952586,2815141.733032912,-347.62402,11973.417,114.80557,2946.6694,21.895208,687.14294,18.55661,360.89618,6.0314183,412.17062,-2.2655597,277.9379,-14.798947,427.85452,-14.192092,186.71393,-3.0499997,162.6933,-12.86792,226.65048,-5.323456,130.84529,-7.729859,61.116367,-9.426552,151.3869,-2.4098961,37.313843,-1.2456,46.93409,0.2210492,87.09342,-7.8015866,130.53358,-1.8161153,65.37134,1.0445338,79.29648,-2.064014,51.393818,Amr
0.33606425,0.09947536,0.055486772,0.0072546736,1629.6774520699748,461413.8433196792,1850.7710135694035,313685.7156334392,3140.2587890625,2463876.5281233294,-375.0833,9073.81,113.16802,2273.2527,9.746583,405.78146,7.0266676,420.3495,2.170238,176.2164,-4.035372,228.57149,-11.538294,112.27856,-10.423851,232.81564,-3.8398714,48.367214,-11.430142,93.24611,-9.936628,142.30495,-4.739107,106.773895,1.3731239,100.16971,1.3816391,32.166817,-4.7291903,79.98902,4.747692,124.452385,2.1391354,49.31639,-4.52857,55.519154,-8.080514,32.716484,-2.72291,33.316696,Amr
0.41670415,0.09618168,0.03389612,0.0033458248,1812.8357645869808,778700.2448992957,1993.2839057357496,408722.06664683815,3693.5631061422414,4372313.837769765,-359.39053,3901.355,113.153625,1665.8093,5.64007,333.4619,7.6622343,275.0197,-0.6916465,161.62524,-5.1449738,127.79687,-14.111411,185.59746,-13.1413965,294.48413,-11.368389,69.93035,-6.973329,103.97931,-1.7040756,126.508125,-3.1647925,56.729313,-2.4066637,45.340645,1.8284405,53.32812,-1.356791,56.41855,2.22265,103.39343,-1.6455704,35.485664,-2.6108825,57.160534,-2.0258145,46.924923,-1.6456206,28.94654,Amr
0.42367035,0.09586166,0.07468008,0.010180159,1962.2856949511056,1057575.3316763493,2068.427109200333,563662.2456016559,3957.159213362069,5255580.579357113,-314.1765,6135.8867,117.74322,2656.5242,5.0719,611.5792,16.064981,227.97694,4.9964976,264.41605,-2.2719967,253.24944,-12.797027,221.01414,-14.234717,300.41843,-1.9030285,219.9508,-9.841772,114.97301,-5.547336,106.68862,-3.7809641,65.77682,-4.600058,51.48579,2.9161034,78.047806,-8.100336,55.098846,0.41563907,73.482124,0.10801529,45.98731,-6.1396337,70.814644,-4.446473,61.261204,3.3989155,61.083183,Amr
0.41166556,0.09737985,0.051407248,0.0067912852,1822.3082923429304,758308.6779361457,2025.4200321265323,341138.1794624741,3617.083108836207,4393660.523435024,-366.93427,8451.403,108.77604,1741.3292,7.6131573,358.8279,13.568181,417.66928,5.6177697,307.7565,-3.5423381,248.07108,-11.731269,117.7484,-13.8421755,309.05057,-4.2718263,65.172424,-10.119997,66.73711,-5.0875835,57.309948,-1.7520082,83.13616,-5.3503942,63.430546,2.5369704,55.33146,-4.4188275,46.016342,-0.029617112,46.292084,1.3328084,53.726562,-2.042027,68.97734,-5.6928263,35.387276,0.9473587,127.282814,Amr
0.33042854,0.10623933,0.05480214,0.006172063,1483.092101087406,355977.2998276906,1924.5820582279,231302.1129637021,3187.904094827586,3300142.53700956,-349.85522,4996.489,114.89675,683.96,26.504478,533.34454,29.598068,288.46997,1.1243904,186.10583,2.2858548,318.49222,-17.222372,185.3879,-12.061125,114.27696,-2.9125674,141.06789,-7.5165095,128.16582,-3.4297247,178.88971,-6.429442,108.12414,-7.4898205,63.83977,-1.0695332,56.461006,-1.8111923,45.451797,-3.9107041,31.791498,-3.843907,38.162407,-0.93471384,76.58743,-5.3176823,97.056595,0.039762974,38.45821,Amr
0.33662394,0.09280683,0.04944743,0.0052364846,1432.7288484845456,265175.7715105415,1728.9785674332377,130689.10563167885,2915.6452047413795,1583276.2614640263,-339.689,4139.036,117.23716,640.90704,7.465144,256.10922,30.189615,384.97455,5.9034634,176.956,0.20803209,148.13878,-13.460095,314.7338,-18.281513,96.50476,-8.4971485,148.91939,-12.189644,115.5887,-8.59947,107.899956,-9.263476,46.05426,-3.864097,57.458603,-0.089577444,57.565548,-6.130392,51.565395,-4.3537316,48.42832,0.6448627,60.52682,-0.7868126,100.2117,-2.5529451,82.04037,-2.19705,42.444977,Amr
0.37051824,0.09985001,0.04116293,0.0031228845,1492.6275694760452,253712.1976611237,1692.1551670531255,86738.26079695609,2975.5421605603447,1178565.3166680215,-338.9078,3300.9788,118.222435,617.7756,-4.2938128,167.20653,33.357494,398.87308,6.3009,267.10754,-7.662794,136.29663,-15.222853,147.43652,-23.30392,83.57959,-5.8543897,60.48836,-4.991089,157.0466,-5.63719,196.0683,-3.6991563,95.10215,-5.550923,93.52709,-0.6688588,63.205326,-3.9607968,51.099598,-5.275658,80.81493,-4.0624795,45.89629,-6.618161,43.285416,-2.5124695,50.273506,-0.513967,73.614075,Amr
0.31165096,0.10638793,0.048397694,0.0040024193,1372.5007456102303,277943.2614849575,1684.8628857910312,155889.64306774177,2717.0199690193967,2175844.858380192,-336.66098,3305.6858,130.98187,473.97006,2.7922838,288.30347,18.978317,527.5998,-1.9272871,437.3726,-5.561711,262.6747,-14.823471,235.175,-16.4755,148.51384,-11.186545,123.08237,-10.869861,141.3521,-2.6054559,149.36238,-3.8354707,129.16586,-1.1709942,144.03986,-1.5949574,71.27247,-6.4162884,62.234375,-5.819184,68.64951,-5.2532096,104.59826,-4.431786,68.390976,-3.8062432,44.683094,0.66123885,95.779655,Amr
0.3548376,0.09825525,0.052756853,0.005317158,1530.5666046939286,568204.6541172802,1781.302724872735,260849.0813650519,3069.9664938038795,3122968.0293621263,-366.37778,6360.444,110.04546,1359.0764,19.842993,305.8199,38.38908,334.45554,10.672993,379.76706,0.70252824,234.0503,-13.921115,274.42328,-14.789726,180.66893,-8.657594,98.374245,-11.566065,95.78906,-3.435333,124.52765,-5.1568785,126.928734,-2.976355,59.657986,3.818026,79.19925,-7.060572,60.90232,-8.091084,64.02648,-1.3728256,71.01525,-4.3678203,36.493446,-5.3548617,43.295113,-0.28502923,44.946922,Amr
0.34808028,0.09852948,0.06018061,0.005294323,1280.112962532001,280994.1492590552,1628.8275371508685,146538.9959807587,2468.769362877156,1795732.5077623876,-340.94235,5706.8784,130.15262,767.5679,11.110061,302.34882,31.584742,348.564,7.432491,267.73047,1.4373528,237.06146,-14.316312,209.5524,-16.587646,166.14647,-5.678483,106.57038,-8.242427,134.13814,-6.601829,179.87306,-5.862262,122.17038,-5.61182,80.77419,-0.55429816,44.659325,-3.7322311,77.10588,-5.046147,44.953587,-2.0841777,75.00412,-4.510527,54.232838,-1.558008,43.717052,-1.8156704,34.63491,Amr
0.31874284,0.097130716,0.035518494,0.0013028213,1360.3834159417852,212232.517839276,1591.8074996332628,86274.30226692097,2724.816473599138,1298970.1951216292,-344.8781,2827.9922,135.21844,351.83185,-9.067937,607.5335,34.1625,338.99292,1.9825261,397.48325,2.430431,103.98966,-12.509551,161.51662,-22.50627,165.15762,-4.6767945,208.85371,-1.8431528,64.04408,-5.5445733,209.29567,-4.4329667,122.39874,1.3592328,112.80545,-2.7169511,90.63517,-0.8873589,97.06646,-6.2020783,76.89556,-2.5762756,126.29676,2.4031966,70.57824,-5.9261994,39.615566,0.19495638,51.075993,Amr
0.3758746,0.09589718,0.076824814,0.010365052,1430.7275787133858,305205.3735563802,1658.6640776191357,286346.2564909291,2704.273302801724,2437954.590011578,-355.92642,16766.715,126.05552,2848.5698,2.064531,732.98785,-0.16401923,367.9174,-1.6031326,506.0563,-1.729426,320.3238,3.0630581,261.04086,-18.24715,509.32538,-13.295044,96.262856,0.57237047,166.02747,-13.86053,302.35037,-6.7217693,62.090614,-3.5167542,109.728966,-7.853038,134.91402,-7.2174044,67.52598,-0.11410262,208.0688,-7.8076143,68.93999,-3.2966259,47.060352,-6.689301,92.98031,-3.259625,56.67185,Amr
