chroma_mean,chroma_var,rms_mean,rms_var,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,result
0.44878748,0.09694636,0.07007081,0.00975993,-369.33957,33072.715,73.51694,5802.3105,2.3401027,269.5357,15.704262,338.5222,0.32954386,174.95662,-0.5249172,177.97643,0.24031715,91.19822,-0.55671334,35.547806,-13.01339,231.56477,-1.2495023,61.23527,-4.14303,82.794525,0.550097,54.759834,0.7689172,54.43007,-0.54088145,42.716824,-3.6180322,38.447994,6.215018,72.57431,-3.8354814,35.203075,-1.690014,24.74049,-0.5307634,16.251383,1.4161942,34.72858,not recognized
0.35907152,0.09805128,0.097690485,0.008068473,-280.6656,19948.807,127.359215,3298.0312,4.9333797,494.48935,19.347775,276.02277,7.2382708,229.77797,1.6027535,206.3323,-10.90339,146.44185,-6.5765815,138.59825,-13.208025,135.46066,1.2744296,96.59963,-5.440904,125.55117,0.90438175,121.97342,-2.469668,76.22081,-5.34776,70.74593,-3.8257475,56.370495,8.790363,115.61768,-10.721097,96.40582,-2.557944,38.88022,-4.0117884,31.904648,-0.11095161,59.46082,not recognized
0.45427787,0.09608335,0.062218867,0.010652778,-395.0138,29745.9,74.970055,5862.717,1.4325819,262.6135,9.755202,188.51176,2.6307247,111.68759,0.33464584,150.79236,-0.6112471,64.18928,-0.6915706,65.44932,-10.895407,260.7592,-0.8747795,61.836857,-3.4437046,67.98705,0.19860975,36.772907,-0.6761821,46.29608,-0.18493605,29.452406,-3.1969068,69.18922,5.585805,101.19896,-3.635996,59.728596,0.9928837,20.60761,0.16629547,17.695246,0.3661577,19.311989,not recognized
0.46572816,0.09739787,0.054245993,0.0078001134,-411.68628,33110.348,76.082344,6002.9097,1.7212423,214.82814,10.261271,239.1293,3.419101,156.85536,0.8642969,162.00612,-2.0805874,82.929504,0.994564,38.98927,-8.317074,166.09648,-2.7946355,52.991184,-2.3819978,70.755875,2.4332547,46.348522,-0.1431467,51.50376,-1.5610211,35.964493,-3.3050878,57.748367,6.7545834,105.243546,-4.3004227,47.522987,-0.44039276,21.22983,0.7494077,25.681097,1.2624756,10.586324,not recognized
0.42018688,0.09531299,0.028270599,0.0012411623,-431.2738,23450.172,117.95464,3966.0845,1.7757676,561.3017,-8.541335,518.32874,-9.971827,166.0754,11.900729,218.03639,-15.358339,264.70987,-0.30876827,118.53042,-9.654256,113.12362,-3.4409194,52.848503,-3.298042,73.76934,-0.3428707,53.62755,0.8652649,43.473034,0.81389576,21.017622,-4.5759277,69.445724,4.534167,49.044445,3.2408097,39.98386,-6.500817,58.854507,-3.1295688,16.891577,0.21349524,28.08155,Amr
0.4511297,0.09003935,0.023951536,0.0009950871,-459.27792,21714.994,130.03671,4278.851,11.31952,359.30447,3.4487045,403.046,-1.4147702,96.70212,12.50081,268.98398,-16.976728,552.79114,-0.82388806,128.54616,-4.513488,45.44953,-0.7302134,45.47852,1.4105186,73.2494,1.2635145,42.27931,4.142423,26.420244,-1.35218,41.29866,2.2938218,59.08469,8.261808,70.57251,-1.9629408,63.743225,1.0213419,23.801525,-1.406764,43.747482,1.50485,36.167,Amr
0.38310775,0.098658055,0.036478557,0.002594853,-458.9744,21896.73,98.104546,6061.5156,15.49463,561.8073,5.2573752,568.73425,-9.871451,289.76236,7.593138,275.88898,-9.752449,240.62677,-2.9575868,126.20703,2.19662,87.191605,-5.721508,83.04203,-2.5159569,105.98366,2.4477806,59.60161,2.7411275,33.440117,-1.750789,59.188335,1.1816206,25.83904,1.7315372,57.403107,2.4308648,34.97559,-3.062292,52.656868,-0.14225852,27.850296,-2.069072,33.75401,Amr
0.37514463,0.1056364,0.027585035,0.0013055521,-512.41736,24735.219,97.98316,7012.5728,16.411757,230.86142,2.8303196,534.5651,-9.2934265,209.48996,5.9427342,222.89986,-9.767688,232.36458,-4.155847,88.56204,0.023562869,74.451965,-6.0074787,66.15361,-3.842149,121.262215,1.8758299,49.1092,4.700622,30.887676,-5.254066,98.121956,0.995599,21.52174,4.6907163,71.50795,0.06880997,26.64302,-2.7451766,44.246243,-1.0156212,20.539522,-1.834687,18.653366,Amr
0.32178727,0.096520334,0.030248165,0.0014562974,-466.10544,20107.422,126.38152,4652.527,13.948353,261.33865,-2.3591623,770.9398,-15.399418,189.73157,7.644321,290.9978,-12.771312,228.05963,-5.469353,98.683395,-0.43255985,109.557,-7.6493406,84.03143,-1.7877629,107.62517,5.904163,52.819717,5.4055567,23.883461,-5.505621,129.07246,0.43004486,28.100372,4.222658,88.461365,0.6174911,19.677849,-3.40276,69.70644,-0.7566623,19.905117,-2.3998427,20.118872,Amr
0.36325747,0.09877683,0.026569605,0.0013665684,-503.6027,26490.273,93.67625,6881.111,11.886882,209.87614,0.52038366,582.9689,-12.060363,241.76843,6.5093813,301.7807,-8.569106,224.9589,-3.834755,74.92985,-2.3219457,73.29455,-5.7765203,53.5842,-3.1426854,97.058586,2.3606842,45.38437,3.5159764,27.82485,-4.579338,77.11325,2.104537,16.094816,2.4678738,41.610115,0.19622976,20.196133,-2.8064158,34.201584,-1.7369392,41.53621,-1.557606,16.368595,Amr
