x_amr,y_amr,z_amr,x_ibrahim,y_ibrahim,z_ibrahim,x_mariam,y_mariam,z_mariam,x_momen,y_momen,z_momen
-3.260095,-12.482167,-12.038289,2.73537,3.5545242,2.591378,-0.5892437,-23.862482,-16.104708,-0.5065421,-5.3820415,-0.047051676
-3.9843662,-11.523648,-12.651479,-0.969509,-1.1181953,2.199727,0.24772894,-20.290298,-16.589947,-0.3185463,-3.720908,-0.083213046
0.7683012,-15.682334,-12.256225,-0.90652186,0.6939263,6.0402064,3.7772145,-19.427149,-20.77225,-0.6149893,-7.3482976,2.9751296
-0.43099782,-13.956676,-19.904848,2.8390672,-4.154856,-14.528403,5.7342277,-13.641739,-17.811762,-2.5237703,-3.8081748,0.35485727
-7.7603183,-13.540636,-24.556475,1.5759797,-2.2170134,-10.24098,-1.6035842,-12.369936,-11.05661,-0.41736147,-6.754139,2.2452517
-5.5630107,-15.586655,-15.566245,4.0612397,-4.6326365,-9.387442,1.8498738,-14.753786,-17.138935,2.2012353,-5.6941686,1.590209
0.33415636,-12.95907,-12.084106,2.4891179,0.3031613,-9.724,-1.38722,-12.283861,-17.201849,-2.72409,-5.0353928,1.8776042
-0.6063897,-12.542101,-13.971288,4.0113835,-1.6212109,-8.754309,-1.1837795,-16.46389,-17.445593,-2.5044978,-6.9564238,0.6833412
2.099348,-14.808001,-20.94345,-1.2750454,-1.0969536,-4.3925467,0.006254278,-24.648375,-18.080137,-1.1045456,-12.296989,-2.593492
-1.5579289,0.3477008,-16.67473,-2.4150176,-6.4125934,-16.360409,-0.47843492,-15.218768,-20.043856,-0.17090751,-16.021769,3.5467348
4.341028,-2.7233632,-8.256153,3.3399022,-3.1847332,-13.522389,-2.2359903,-14.979879,-16.632864,-3.4103756,-7.8165245,2.5917895
4.730602,-4.920916,-7.480096,3.6407862,-2.7781549,-8.270705,2.2678683,-14.243254,-14.052545,-0.49172172,-12.946553,-0.30867326
6.3048325,-6.666373,-8.387633,3.8961387,-1.0415481,-6.41666,-5.4500318,-19.952816,-14.569311,-0.82249796,-8.481487,0.31312698
1.8873687,-0.82579684,-5.7272935,2.9478583,-3.8576655,-8.260397,-5.6439247,-19.237572,-15.316236,0.34397486,-10.925106,3.7553284
4.7487574,-1.7367685,-9.499506,6.9890256,3.2388313,-9.281187,-2.7362845,-17.208395,-17.6656,-0.35142958,-12.599278,4.7863903
5.35098,-0.43101662,-8.473178,15.207822,-10.942905,-7.459457,0.65218216,-17.010365,-14.163693,-2.0227222,-9.848173,5.088281
1.6114463,-0.29843578,-0.72983426,2.8151102,-9.477709,-9.112546,1.1243515,-21.855078,-13.735394,11.149014,-9.923001,-9.241079
2.4190388,-1.2390386,-0.02431781,2.8275406,-3.5330453,-7.878986,5.941372,-16.470074,-18.76059,0.23225623,-6.252154,4.755758
-1.422605,-9.985339,-20.898916,0.36411974,-2.546143,-7.684262,1.0736893,-23.397318,-14.679455,2.626892,-7.1685348,-1.4375752
2.8027344,0.42997226,-3.441104,-4.145625,-0.15438706,-3.342041,-2.5907438,-27.576727,-19.712875,6.5463576,-11.010205,-8.59019
5.9728856,-1.5327842,-5.3559194,4.276295,-5.513279,-8.446837,2.3746789,-18.597658,-12.920108,6.488456,-13.918489,-9.289112
8.594415,1.5861338,-7.507341,4.315615,-4.1816635,-5.4029613,2.4781017,-14.434127,-14.056912,8.44477,-17.533371,-6.068036
4.4144936,-1.096439,-7.06458,4.10533,-7.4696674,-8.528031,6.7784705,-15.650628,-13.882443,9.349284,-8.383799,-6.9424477
5.029672,-0.5302749,-1.6325393,0.35026738,0.21053247,-4.981413,9.196404,-15.4241,-9.569713,8.366867,-13.850227,-3.0943813
7.624234,-2.8406677,-3.8147378,0.089169115,-6.906304,-10.63495,6.4229374,-11.372269,-12.362829,9.862036,-13.915682,-5.7477727
7.4320006,-3.5732625,-3.0013125,4.3085732,-0.8755146,-8.231141,1.4343301,-19.258532,-17.425459,12.995084,-7.829855,-5.8006973
2.4609697,-5.8324466,-7.0153,3.7298508,0.44616365,-6.8965454,7.4847074,-13.983964,-14.355892,7.549614,-8.257632,-2.8536592
5.3322096,-7.4870973,-14.684796,2.500305,-5.627953,-9.029734,4.5856133,-14.052311,-11.065502,1.3764355,-13.007202,-6.2096863
1.7158855,-0.7299665,-6.5190496,12.844109,0.6808908,-9.884914,13.294932,-20.55673,-15.878099,9.638037,-8.771136,-7.025859
5.712088,-5.8648844,-3.0656662,6.9153633,0.34566307,-7.5171204,3.305591,-12.3566065,-11.424714,8.811934,-13.914066,-7.2575455
2.5195625,-1.0358435,-6.4612107,3.411682,-0.7351161,-2.6474457,-2.2182806,-24.961601,-11.858349,6.385636,-13.358407,-8.679553
3.5273473,-4.088761,-2.6393907,9.731741,-6.4193554,-5.3062725,-0.6465396,-16.735119,-10.505683,6.3379674,-13.976657,-11.862908
